NU_SEQUENCIAL;NU_ANO;CO_ESCOLA;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;CO_UF_ESC;SG_UF_ESC;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_SIT_FUNC_ESC;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_UF_PROVA;SG_UF_PROVA;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;CO_PROVA_CN;CO_PROVA_CH;CO_PROVA_LC;CO_PROVA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TX_RESPOSTAS_CN;TX_RESPOSTAS_CH;TX_RESPOSTAS_LC;TX_RESPOSTAS_MT;TP_LINGUA;TX_GABARITO_CN;TX_GABARITO_CH;TX_GABARITO_LC;TX_GABARITO_MT;TP_STATUS_REDACAO;NU_NOTA_COMP1;NU_NOTA_COMP2;NU_NOTA_COMP3;NU_NOTA_COMP4;NU_NOTA_COMP5;NU_NOTA_REDACAO
756642;2024;;;;;;;;;3106200;Belo Horizonte;31;MG;1;1;1;1;1420;1383;1395;1408;481.7;542;535.8;465;ECEDCBBDEABBBDAADABCCADDBDEDDCEACECCEEDEAEDAA;ACDBADBDABCDDEEDBACDBADCCDADEEEAECADCEACDADCC;ADDABECDEDDDDABDECDCAABDEEDAAEAEDBDDCCAEACDEB;DACDDCDAABBDCCACCBCCACCAAEDCCEACABDCEABECDACB;1;CAEDAACCAEEXCBBAEDBBCAACDEDCBCEECAAEDDDEBBDDB;CECEBEBCDBADDEBBABCDCAECEDADBAEABEADCEDADACBC;CAAAECDDDAECBECEDDCBDEDDCECBDCBCEADBBDBDDCBEDADEEB;CECEBEDADCAADECDBBCEBDCCCACABBABBADDDCEADBBCE;1;140;140;140;140;140;700
594640;2024;27035840;2704302;Maceió;27;AL;2;1;1;2704302;Maceió;27;AL;1;1;1;1;1420;1383;1395;1408;417.3;403.4;465.5;398;CAEEAACDDDCBDCBBEBECBBDEEDEDEDBCBCDDDEBAECEBA;CEAACDACDDCDADBDCEBCDCCCCBCABBDECCABBCDCBBBBD;BCAEADCCEDCEDDBCDEDDEBBCEBEBECEDDBDBDDBEDDECC;DABADDCBBACEBCBDADBDCCDABCEDEEDBEBCDACCABBDCC;0;CAEDAACCAEEXCBBAEDBBCAACDEDCBCEECAAEDDDEBBDDB;CECEBEBCDBADDEBBABCDCAECEDADBAEABEADCEDADACBC;CAAAECDDDAECBECEDDCBDEDDCECBDCBCEADBBDBDDCBEDADEEB;CECEBEDADCAADECDBBCEBDCCCACABBABBADDDCEADBBCE;1;120;40;40;100;20;320
4330777;2024;;;;;;;;;4315602;Rio Grande;43;RS;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;
3074940;2024;;;;;;;;;3151503;Piumhi;31;MG;1;1;1;1;1419;1385;1398;1407;561.9;577.5;577.7;634.6;BDDADCBCADAADDEDEABDCBCCECCBACEBADEADEACDDAEC;CAEDBADCBBECEEADEAEABEAADEABDEDEEAECCBBBCBDBD;AAAACCDCBDEECDBBBCECADEEBEAEDECBCCBECBDDDAECB;EEBABCADADBBBCEBEDCDABCAABCECCBEADDCBACBADECB;0;BCEAACDEDCAAEDDDEBBDDBECCAEDBBAAACCAEEXCBBCED;CAEDBADBEBCCEDADBAEACBCADCEDEBBEBACECEABCDDAD;EAAACDDCDADDCBDEECEECBDCDADEEBCBEBADBCEBDBDDDDCECB;ABBABBADDDBBCECEADCEBCCCDBADCBEDAECADACDBCECE;1;100;120;120;100;120;560
4330967;2024;;;;;;;;;4318705;São Leopoldo;43;RS;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;
3710122;2024;;;;;;;;;2927408;Salvador;29;BA;1;1;1;1;1420;1383;1395;1408;525.4;511.9;572.6;419.9;EEECEABDCAEBDCADDCBCBAEEADCBBEEACAECEDBABADED;AECBBBBEDADBEEBDCBAADAECABDCEAEEAEADEDBACEBCE;CAAAEBCBECADDEBDEDDAAAAEEBDBDDBBEDDACBACADCEB;ACCDBADBAEDCBAEBCDCAEBDAEEDCBEECDBCAEACEDBACD;0;CAEDAACCAEEXCBBAEDBBCAACDEDCBCEECAAEDDDEBBDDB;CECEBEBCDBADDEBBABCDCAECEDADBAEABEADCEDADACBC;CAAAECDDDAECBECEDDCBDEDDCECBDCBCEADBBDBDDCBEDADEEB;CECEBEDADCAADECDBBCEBDCCCACABBABBADDDCEADBBCE;1;160;160;160;200;140;820
2592496;2024;35922511;3524303;Jaboticabal;35;SP;2;1;1;3524303;Jaboticabal;35;SP;1;1;1;1;1421;1386;1397;1409;530.2;584.4;558.3;547;DEBDBEEEBCCDCCBCBBDBADBADDADAADCDBCEEEAEDBCEC;ACBAAEEEEBCDCEBADBADBEBCBDECEADEAEAAEDDBBDECB;AEEBADBEDADEECDCBDABDCEBDDDCDDBDBEDEDDCECCECC;BBABDECCEADBECBABDCBBECEBCEDCCDEDDDECABBECDEA;0;DDBDDEBBAAEDECBCEEDCAACDBBCEDBBAEXCCAEAACCAED;ACBCADCEDBAECEDADBADBEBCDADABCDEABCAEDEBBCECE;AACEADACDDCBEDADEEBDDBDBBCEECBDCBADDDCBDEDDCECBECE;CEBCEADBBCEADDDABBABBCCDCCECEDBACADECABEDADCB;1;120;200;160;160;200;840
1027037;2024;21207895;2112209;Timon;21;MA;2;1;1;2112209;Timon;21;MA;1;1;1;1;1420;1383;1395;1408;391.7;431.7;483.6;449.8;DAACABEEEABCBEAAACCAAEDDCCBCDAAACAEBEEDBACACA;AEEBDBCBEDCAAEABBEADABDCBCAADEDECAAADCCABBBCE;DBACDBCBECDDDABCCEDADCEACBEBDEEBDBCCACADAEBCA;DACDACDEDADAACDDACAEBACCACDDEBACDCCEEACECEEDC;1;CAEDAACCAEEXCBBAEDBBCAACDEDCBCEECAAEDDDEBBDDB;CECEBEBCDBADDEBBABCDCAECEDADBAEABEADCEDADACBC;CAAAECDDDAECBECEDDCBDEDDCECBDCBCEADBBDBDDCBEDADEEB;CECEBEDADCAADECDBBCEBDCCCACABBABBADDDCEADBBCE;1;160;200;160;200;200;920
2960078;2024;;;;;;;;;4104006;Campina Grande do Sul;41;PR;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;
1810124;2024;;;;;;;;;2208403;Piripiri;22;PI;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;
2114550;2024;;;;;;;;;5200258;Águas Lindas de Goiás;52;GO;1;1;1;1;1419;1385;1398;1407;411;407.9;550.2;516.9;DBBDEDDCDDBCBDADABEDEA*CAECCAEBECBBDBCBBBCCEE;DBBABBDDCCECCAADBBDDBEECDBCACDEBCDBCBBDEECBAA;CDDDCBDCDBEECCDABCCDADCEACEBEDEBBBEDBDDDDAECB;BDADBECBDACBDEECBACDBEDCDBECCDDDEBABABBCBCCDC;1;BCEAACDEDCAAEDDDEBBDDBECCAEDBBAAACCAEEXCBBCED;CAEDBADBEBCCEDADBAEACBCADCEDEBBEBACECEABCDDAD;EAAACDDCDADDCBDEECEECBDCDADEEBCBEBADBCEBDBDDDDCECB;ABBABBADDDBBCECEADCEBCCCDBADCBEDAECADACDBCECE;1;120;140;120;100;60;540
1239004;2024;;;;;;;;;3106200;Belo Horizonte;31;MG;1;1;1;1;1422;1384;1396;1410;544.3;531.3;586.9;590.9;BDADCBCEEDBCEADCBCAADDEBABCCADEBCCCEADDDDBECA;EADBEECAECADABBBEBEDDDDABDCAAEDEEADEACBDACBBC;DEEDCDADECBDDAEEBEDACCCEDDDADCBAEBCDBCCECABEC;ADCBCEADCDEBACEDCDAECCACBAEBCBDAACEBDDAECAECB;1;BBCEDBBAEXCCAEDDBCAEDAACAAEDDDEBBECBCEEDCAACD;DADABCDCECEDEBBBEBCDBADACBCADCEBEADBAECAECEDA;AACEADDDACDADECBBDBEEBDDECCBEDDCADBBDEBCEBDCECEDDC;DBCECEACADABBECBEDADCCDCCABBBCECEBCEADABBADDD;1;120;120;100;100;40;480
2093116;2024;;;;;;;;;4315602;Rio Grande;43;RS;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;
676136;2024;;;;;;;;;2207702;Parnaíba;22;PI;1;1;1;1;1422;1384;1396;1410;405.1;449.1;546.3;454.2;ACABCBABABDEADABEEADDAABBBEDADDCCDBCCBADAEBBA;CADBABCDDDEAAEEBAAADBBEECBEAACDCCABCDDCAECCDE;ADDCCDADECEEDAEDBEDBBCBEDABCEABDEBBAADEECACAB;DAACACBDCBACBABDBCDBDCBDAADCBDEECDCCBDCBCDDDA;1;BBCEDBBAEXCCAEDDBCAEDAACAAEDDDEBBECBCEEDCAACD;DADABCDCECEDEBBBEBCDBADACBCADCEBEADBAECAECEDA;AACEADDDACDADECBBDBEEBDDECCBEDDCADBBDEBCEBDCECEDDC;DBCECEACADABBECBEDADCCDCCABBBCECEBCEADABBADDD;1;120;160;120;140;80;620
3209359;2024;;;;;;;;;3139409;Manhuaçu;31;MG;0;1;1;0;;1385;1398;;;478.4;538.2;;;CEEDDBACCABCADACEEECDCDADEEAABDBAACEABDABEDEB;EBAACCECDCEECCCBCBCDADEEBCBAEAABDECDBEDDDBACE;;1;;CAEDBADBEBCCEDADBAEACBCADCEDEBBEBACECEABCDDAD;EAAACDDCDADDCBDEECEECBDCDADEEBCBEBADBCEBDBDDDDCECB;;1;120;160;120;140;140;680
968211;2024;31357081;3131307;Ipatinga;31;MG;4;1;1;3131307;Ipatinga;31;MG;1;1;1;1;1420;1383;1395;1408;554.2;599.2;599.6;561;EDECABBCAEECABDDEECAABCCADADBCEAABCBECBBABDCB;CECBBEBCEAADBEBBEBCDCABADBACBADDBECDCEBADAAEC;CBABEECBECADDCBDEDDCEBBBEBEEAADBEDDDCBEDADCEB;BDDBBCBADCCEDACCADCAACEDAEDAADDBCBEADACADBBCE;0;CAEDAACCAEEXCBBAEDBBCAACDEDCBCEECAAEDDDEBBDDB;CECEBEBCDBADDEBBABCDCAECEDADBAEABEADCEDADACBC;CAAAECDDDAECBECEDDCBDEDDCECBDCBCEADBBDBDDCBEDADEEB;CECEBEDADCAADECDBBCEBDCCCACABBABBADDDCEADBBCE;1;120;140;140;180;180;760
1138492;2024;;;;;;;;;4106902;Curitiba;41;PR;1;1;1;1;1421;1386;1397;1409;510.9;535.3;592.8;719.5;DCAEDCBAAECEBDACEDDEACCBACDCEBAAECDECCAADEAAB;CDEAADCCBEAEDDBACCEDBBACBADEECDBABCAADADDAECB;AACCABBEBADEEBDABDABCDEBAACDBCDDCBDEDDAECBECC;CDBCBADDBADACDDABEBBBECDBCCCEDBADBECDAACBCBBB;0;DDBDDEBBAAEDECBCEEDCAACDBBCEDBBAEXCCAEAACCAED;ACBCADCEDBAECEDADBADBEBCDADABCDEABCAEDEBBCECE;AACEADACDDCBEDADEEBDDBDBBCEECBDCBADDDCBDEDDCECBECE;CEBCEADBBCEADDDABBABBCCDCCECEDBACADECABEDADCB;1;140;120;140;120;100;620
4231252;2024;;;;;;;;;1200401;Rio Branco;12;AC;1;1;1;1;1419;1385;1398;1407;448.5;484.1;460.3;402;DCBBECCEAABEEDAEBEADEDCCBCCDBDCCBDBDCEBDCDDDC;CABEBADECCBADCBEEDDABECAAEADDDDDAABECACEEDBED;EDBEADDCDAAEDEDAEECDADBDBCEADAEDDDCDADEADEADE;CEDECDEDEECDDDCCBACDDADEDBCBDCCEDADCCEEDABDED;0;BCEAACDEDCAAEDDDEBBDDBECCAEDBBAAACCAEEXCBBCED;CAEDBADBEBCCEDADBAEACBCADCEDEBBEBACECEABCDDAD;EAAACDDCDADDCBDEECEECBDCDADEEBCBEBADBCEBDBDDDDCECB;ABBABBADDDBBCECEADCEBCCCDBADCBEDAECADACDBCECE;1;140;120;60;80;20;420
553363;2024;35014308;3508504;Caçapava;35;SP;2;1;1;3508504;Caçapava;35;SP;1;1;1;1;1421;1386;1397;1409;525.9;569.6;553.1;645.1;DCAABEABCDDEBEEDBCBDADCBCBDBDDBDECDAECAABEBED;ADCEAEEEBDDECBDADBCDBCBBBADDBCDBAEDAADEBBADCB;DACCEABEDADEEBEDBDABCCDABDCADEDBDABEDDAEEBEAC;CDBBBACCBCDDCEDDBDCCCECEEDEDCDBBCBDEDADDDCCBA;0;DDBDDEBBAAEDECBCEEDCAACDBBCEDBBAEXCCAEAACCAED;ACBCADCEDBAECEDADBADBEBCDADABCDEABCAEDEBBCECE;AACEADACDDCBEDADEEBDDBDBBCEECBDCBADDDCBDEDDCECBECE;CEBCEADBBCEADDDABBABBCCDCCECEDBACADECABEDADCB;1;160;160;160;160;180;820
3603288;2024;22011145;2208502;Porto;22;PI;2;1;1;2201200;Barras;22;PI;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;
3995091;2024;;;;;;;;;2408102;Natal;24;RN;1;1;1;1;1422;1384;1396;1410;417.4;350.3;310.4;455.4;AEDACECBDACCBECDEACCBDAADAEBCDBDCDAEAEBBEAEBB;CCEEBAEBDEEEEEEDDDCEBDAEBACDEBDABEEBDACDAECCB;AAABAEDAABEAEBDEAEADAEACBEBDCADCECABEBBABAEC*;BCDEDAEEAECEDAEDDAAEBADECBDADCECAEAACECBCBEBD;0;BBCEDBBAEXCCAEDDBCAEDAACAAEDDDEBBECBCEEDCAACD;DADABCDCECEDEBBBEBCDBADACBCADCEBEADBAECAECEDA;AACEADDDACDADECBBDBEEBDDECCBEDDCADBBDEBCEBDCECEDDC;DBCECEACADABBECBEDADCCDCCABBBCECEBCEADABBADDD;3;0;0;0;0;0;0
2771498;2024;;;;;;;;;3142908;Monte Azul;31;MG;1;1;1;1;1421;1386;1397;1409;416.6;404.3;382.2;405.4;ACDBCEBBEEDEACDCEDBDAAEBDDBECCBAECEEDBBDDECAA;CABDADEADECBDCDBDCDAAEDBBEADCDADBDADEADDBAECD;DEDDEAEBEEDAEEBDAECDDEDCECDBAEEEDECDBDBEBCABB;ACDDCEBCCDEEDEECBBDDDCBEBADEACBCDECAEDDBDEECB;1;DDBDDEBBAAEDECBCEEDCAACDBBCEDBBAEXCCAEAACCAED;ACBCADCEDBAECEDADBADBEBCDADABCDEABCAEDEBBCECE;AACEADACDDCBEDADEEBDDBDBBCEECBDCBADDDCBDEDDCECBECE;CEBCEADBBCEADDDABBABBCCDCCECEDBACADECABEDADCB;1;120;140;120;120;100;600
3895895;2024;;;;;;;;;2507507;João Pessoa;25;PB;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;
3690055;2024;;;;;;;;;1302603;Manaus;13;AM;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;
2665766;2024;;;;;;;;;2611606;Recife;26;PE;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;
258603;2024;13031040;1302603;Manaus;13;AM;2;1;1;1302603;Manaus;13;AM;1;1;1;1;1419;1385;1398;1407;452.7;507.3;522.7;432.5;ABBDEDCCDCDCDDDDEEBACEBBAADBCBCEBABAEECAEACBA;AEBADDBBEADCCDADBDEBCEAADDEBEEEBCABACBEBCCBCB;BDAECEBCBEEECCEEBACCBDECADDDAAEBDDADACBDDEECC;CCAEBBDBEBDDBEDEEAAEAEADCBBACDCBAACBCBECEBEDA;0;BCEAACDEDCAAEDDDEBBDDBECCAEDBBAAACCAEEXCBBCED;CAEDBADBEBCCEDADBAEACBCADCEDEBBEBACECEABCDDAD;EAAACDDCDADDCBDEECEECBDCDADEEBCBEBADBCEBDBDDDDCECB;ABBABBADDDBBCECEADCEBCCCDBADCBEDAECADACDBCECE;1;140;160;120;160;120;700
1461997;2024;;;;;;;;;2608909;Limoeiro;26;PE;1;1;1;1;1422;1384;1396;1410;540;467.6;537.2;382.6;ECBCBBABBCCEEEDDBECBDBCCEADADBECCEBBCADADBEEC;ADDCBBABBBADCEBADADBBBABBCADDEDCBAACACDAECCCA;AACDACADECBEDEDEBDDCABBEDDBDECABEADEDCEEAABAA;BBCDBEBCBCDEBCACBCEABACBACDACDBAECACEBECDBACA;0;BBCEDBBAEXCCAEDDBCAEDAACAAEDDDEBBECBCEEDCAACD;DADABCDCECEDEBBBEBCDBADACBCADCEBEADBAECAECEDA;AACEADDDACDADECBBDBEEBDDECCBEDDCADBBDEBCEBDCECEDDC;DBCECEACADABBECBEDADCCDCCABBBCECEBCEADABBADDD;1;100;120;100;80;60;460
172228;2024;;;;;;;;;3550308;São Paulo;35;SP;1;1;1;1;1420;1383;1395;1408;439.1;615.7;584.4;539.2;CDADBECEAEDDDAACECBCEDCEBDBEDCABCABBDDDCDDAAB;AECBBEBCECDDDEBBBBCDCAECEDABEEEAEEADBEAABAADA;CAAAEECBECCDDABCEDECDDEACBCACCABECDDCBEDADDEB;CCDBBCEBBAAACCCCCBCEAEBECECCACACBCCADDBEBDCAD;0;CAEDAACCAEEXCBBAEDBBCAACDEDCBCEECAAEDDDEBBDDB;CECEBEBCDBADDEBBABCDCAECEDADBAEABEADCEDADACBC;CAAAECDDDAECBECEDDCBDEDDCECBDCBCEADBBDBDDCBEDADEEB;CECEBEDADCAADECDBBCEBDCCCACABBABBADDDCEADBBCE;1;80;180;100;120;140;620
556269;2024;23075864;2304400;Fortaleza;23;CE;2;1;1;2304400;Fortaleza;23;CE;1;1;1;1;1422;1384;1396;1410;423.9;441.7;559.9;612.8;ABCCBEAAADDEEEDDABACCCEDBECEAEBCDBDACBDECAEDB;BCBDABCEECAAAABCCCACCDBBBAAEDDDCDABBADCABEDDA;AAAEACADECBBDBCEBDDAACBEDDCEBDAD*BDBEAEECDBBC;CBDEABECDDDBDAECBEBABECCCDBEAAACBBBECDACECACA;0;BBCEDBBAEXCCAEDDBCAEDAACAAEDDDEBBECBCEEDCAACD;DADABCDCECEDEBBBEBCDBADACBCADCEBEADBAECAECEDA;AACEADDDACDADECBBDBEEBDDECCBEDDCADBBDEBCEBDCECEDDC;DBCECEACADABBECBEDADCCDCCABBBCECEBCEADABBADDD;1;160;180;180;180;160;860
1105910;2024;;;;;;;;;2800308;Aracaju;28;SE;1;1;1;1;1422;1384;1396;1410;561.5;585.5;580;689.3;BCCBCCBDDBDEADDCBEAEBBACBBCEDBEDCBCBBBBBCDECB;AADDECDCECBDEBDBBADDBADABECADEEBCADEBEBEECEBD;AACDADAAECBDDDEEBDEBDCBEDDEABEBCEBDCBDDECCBEC;DBDECBABEDDBDDCDDECDCCBDDDACBDDCBBCDAAABBACDD;0;BBCEDBBAEXCCAEDDBCAEDAACAAEDDDEBBECBCEEDCAACD;DADABCDCECEDEBBBEBCDBADACBCADCEBEADBAECAECEDA;AACEADDDACDADECBBDBEEBDDECCBEDDCADBBDEBCEBDCECEDDC;DBCECEACADABBECBEDADCCDCCABBBCECEBCEADABBADDD;1;160;160;120;200;200;840
648216;2024;;;;;;;;;3155603;Rio Pardo de Minas;31;MG;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;
3988566;2024;;;;;;;;;5107065;Querência;51;MT;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;
1304633;2024;;;;;;;;;2609907;Ouricuri;26;PE;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;
1388777;2024;;;;;;;;;2918407;Juazeiro;29;BA;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;
1242905;2024;31172600;3123601;Elói Mendes;31;MG;2;1;1;3170701;Varginha;31;MG;1;1;1;1;1422;1384;1396;1410;424.8;383.3;464.6;424.7;EBEBADDDECBEBDCEBEDABABDBEDCACAABBDACACEDECCD;DAEDAACBACACABACAAAADBBBCDABCBDADBACCBDBCCDEA;BCADBBADBCBCDCEDBEDDACDADEBCACEDEEACDEEDAAEAB;BDCCBDBDCECBAEBEBCEDCDADBCECBAAADEDBDACACCCDC;1;BBCEDBBAEXCCAEDDBCAEDAACAAEDDDEBBECBCEEDCAACD;DADABCDCECEDEBBBEBCDBADACBCADCEBEADBAECAECEDA;AACEADDDACDADECBBDBEEBDDECCBEDDCADBBDEBCEBDCECEDDC;DBCECEACADABBECBEDADCCDCCABBBCECEBCEADABBADDD;1;120;160;120;120;80;600
3608640;2024;;;;;;;;;3538709;Piracicaba;35;SP;1;1;1;1;1419;1385;1398;1407;511.4;532.8;520.1;661;AABBDCBDDBADCBADDEBEAEAAECEEEAABECAAEEDBEBBBB;BAADBBDBDACDCDADBBBEDCAADEEAAABEEABECBCEADAAD;CDAAABBCBEEECEACDCDEADCEBCBECCEBCCCDCDEEEEEEE;ECAABEBBDDABDCEBBBCEBACCDEDCCEEBACCDDEDCBCEDD;0;BCEAACDEDCAAEDDDEBBDDBECCAEDBBAAACCAEEXCBBCED;CAEDBADBEBCCEDADBAEACBCADCEDEBBEBACECEABCDDAD;EAAACDDCDADDCBDEECEECBDCDADEEBCBEBADBCEBDBDDDDCECB;ABBABBADDDBBCECEADCEBCCCDBADCBEDAECADACDBCECE;1;120;180;120;100;100;620
2822508;2024;;;;;;;;;2109908;Santa Inês;21;MA;1;1;1;1;1422;1384;1396;1410;459.5;396.2;411.9;446.7;DCABCCBBABBABCDDDCABCAEDBBAEBAECDACABDBCBACCA;DABCBEACCBACBEACDADDCACAAEADEBCEACBBADCABDDEA;AAACBABDECBBBACDDABCADDDBABCBCCABAEECADACCBAC;ADACDAABCDBCACDCDEBACCADBABBDBBEABCECBBDDCABB;1;BBCEDBBAEXCCAEDDBCAEDAACAAEDDDEBBECBCEEDCAACD;DADABCDCECEDEBBBEBCDBADACBCADCEBEADBAECAECEDA;AACEADDDACDADECBBDBEEBDDECCBEDDCADBBDEBCEBDCECEDDC;DBCECEACADABBECBEDADCCDCCABBBCECEBCEADABBADDD;1;100;100;100;120;60;480
467113;2024;50010026;5008008;Terenos;50;MS;2;1;1;5002704;Campo Grande;50;MS;1;1;1;1;1422;1384;1396;1410;454.4;376.8;463.7;412.2;CCDDCABEECCBBAECCECBDCECECBBBCBCBCCADBEDCECAB;ABCBEACACBCDDEEECCCEDEBBDAADEAACAABEEAAACCEDD;ACDEBBADECECDDEADDADCACEADABBBBADADBCDEADCCCA;BBDCAAEDCCBDCDDCCDECCCBBBAEDAAEACEACDADCECCEB;1;BBCEDBBAEXCCAEDDBCAEDAACAAEDDDEBBECBCEEDCAACD;DADABCDCECEDEBBBEBCDBADACBCADCEBEADBAECAECEDA;AACEADDDACDADECBBDBEEBDDECCBEDDCADBBDEBCEBDCECEDDC;DBCECEACADABBECBEDADCCDCCABBBCECEBCEADABBADDD;1;120;180;120;180;160;760
3046287;2024;;;;;;;;;2302404;Boa Viagem;23;CE;1;1;1;1;1419;1385;1398;1407;564.4;606.1;618.3;631.9;ECCBECBDDECCCCDDDBBDCBBCEADDBDEDECCECDBBCBACD;CAADBDDBEBCDECACEAEABCEADEEDEDBBEABECBABCDDCD;EDAACBACBDEECEEDBBEDADEEBCBDCADBCECDADADDCECB;BDBABCECECDBADDCDCCDBCEBCBDDCBEDCBDBAECDCCEDE;0;BCEAACDEDCAAEDDDEBBDDBECCAEDBBAAACCAEEXCBBCED;CAEDBADBEBCCEDADBAEACBCADCEDEBBEBACECEABCDDAD;EAAACDDCDADDCBDEECEECBDCDADEEBCBEBADBCEBDBDDDDCECB;ABBABBADDDBBCECEADCEBCCCDBADCBEDAECADACDBCECE;1;140;160;140;120;100;660
3231598;2024;51045150;5102504;Cáceres;51;MT;4;1;1;5102504;Cáceres;51;MT;1;1;1;1;1421;1386;1397;1409;539.5;579.4;568.7;618;DCCCAEBDBCBEACBCECBDCECDCDEAEBCAABDEAEADCEAAB;ABBADEECCBCECECAABADBDACDADCECDEACCBEBEADCECA;BACEACBEDDBDEEDCBEEBCECAACEBABDDAADEDDAECBECA;CBBDBACDBEABDABABCABCDBBEBECAEBECABCDDBCDDCDA;0;DDBDDEBBAAEDECBCEEDCAACDBBCEDBBAEXCCAEAACCAED;ACBCADCEDBAECEDADBADBEBCDADABCDEABCAEDEBBCECE;AACEADACDDCBEDADEEBDDBDBBCEECBDCBADDDCBDEDDCECBECE;CEBCEADBBCEADDDABBABBCCDCCECEDBACADECABEDADCB;1;140;180;120;160;200;800
120226;2024;23047860;2302800;Canindé;23;CE;2;1;1;2302800;Canindé;23;CE;1;1;1;1;1422;1384;1396;1410;643.7;738.7;696.5;796.2;DBCEDBBCEBDCEEDABEAEBCACADECDEEABECBAEDDCDDBB;DADCBCDCECEDEBBBEBCDBADACBEADCBBEADBAECAE*EDA;AACEADADECBBDBEEBDDBDCBEDDCDDBBDEBCEBDCECEDDC;DBCECEACACBBBECAEDBBECDCCACABCBCDBCBADABBABDD;0;BBCEDBBAEXCCAEDDBCAEDAACAAEDDDEBBECBCEEDCAACD;DADABCDCECEDEBBBEBCDBADACBCADCEBEADBAECAECEDA;AACEADDDACDADECBBDBEEBDDECCBEDDCADBBDEBCEBDCECEDDC;DBCECEACADABBECBEDADCCDCCABBBCECEBCEADABBADDD;1;180;200;160;200;200;940
668045;2024;21057338;2102705;Cantanhede;21;MA;2;1;1;2105401;Itapecuru Mirim;21;MA;1;1;1;1;1421;1386;1397;1409;382.2;383.2;355.9;468.8;ECAADAAEBBAEBCDCEBAAACCCCCBCCBCBCBBBAACCCAABA;BBDCEBCEACABACCABECADACAEBADADCABDEACABDCBCCA;BAACCAAEDDCABBDACCAAACECBADDABDBADBACBCCBAACD;CBCACCCCCCBAEBAADAEACABCDEBACDBBDDCCCBCBBDEAB;1;DDBDDEBBAAEDECBCEEDCAACDBBCEDBBAEXCCAEAACCAED;ACBCADCEDBAECEDADBADBEBCDADABCDEABCAEDEBBCECE;AACEADACDDCBEDADEEBDDBDBBCEECBDCBADDDCBDEDDCECBECE;CEBCEADBBCEADDDABBABBCCDCCECEDBACADECABEDADCB;1;120;120;80;120;60;500
2845759;2024;;;;;;;;;2704302;Maceió;27;AL;1;1;1;1;1422;1384;1396;1410;686;693.8;633.6;853.5;BBDDDBBBEBCCCEDABCACBCACAAEDDAEBBECCCEEDDCBCE;DADABCDCACEDDEEBEBCDBADAABCADCEBEACDAECBECEDA;AACEDDADECBBDBEEBCDCCABEDDCADBBDEBCABACECADBA;DBCECEACBDABBCCBEDADCCDCCACABDECEBDEADABBAADD;0;BBCEDBBAEXCCAEDDBCAEDAACAAEDDDEBBECBCEEDCAACD;DADABCDCECEDEBBBEBCDBADACBCADCEBEADBAECAECEDA;AACEADDDACDADECBBDBEEBDDECCBEDDCADBBDEBCEBDCECEDDC;DBCECEACADABBECBEDADCCDCCABBBCECEBCEADABBADDD;1;160;200;180;200;200;940
1008420;2024;;;;;;;;;2917706;Jaguarari;29;BA;1;1;1;1;1422;1384;1396;1410;378.6;491.8;427.8;407;DEBCCAECABBEBBAECBEAAAEBBBECAAEDECAAEDABBCDCA;AADDEBCBECACEAECDAEECADBAEBCCDEDDABEAEAADCBAA;ABDDBCBDBEBEDAAEBCECADABAECCEAECDBBBCEABADCBD;ADCCABDDEBEBCAEBCACECDDEABCECDBDACDAAEEDABBDC;0;BBCEDBBAEXCCAEDDBCAEDAACAAEDDDEBBECBCEEDCAACD;DADABCDCECEDEBBBEBCDBADACBCADCEBEADBAECAECEDA;AACEADDDACDADECBBDBEEBDDECCBEDDCADBBDEBCEBDCECEDDC;DBCECEACADABBECBEDADCCDCCABBBCECEBCEADABBADDD;1;120;180;120;120;120;660
